,Transcripts,Enzyme,Ocean_and_sea_regions,Reads_per_Kb_per_million_mapped_reads,Sample_ID,Size_fraction_upper_threshold_micrometre,Total_transcripts_per_million_sequences,Station
480,0.0,alma1,Indian Ocean,0.0,,,,
481,0.0,alma1,Indian Ocean,0.0,,,,
482,9.81e-08,alma1,Indian Ocean,98.1,,,,
483,0.0,alma1,Indian Ocean,0.0,,,,
484,0.0,alma1,Indian Ocean,0.0,,,,
485,0.0,alma1,Indian Ocean,0.0,,,,
540,0.0,alma1,South Atlantic Ocean,0.0,,,,
542,1.26e-07,alma1,Southern Ocean (S of 40S),126.0,,,,
543,2.47e-07,alma1,Southern Ocean (S of 40S),247.0,,,,
544,1.2e-06,alma1,Southern Ocean (S of 40S),1200.0,,,,
545,1.16e-06,alma1,Southern Ocean (S of 40S),1160.0,,,,
546,2.33e-07,alma1,Southern Ocean (S of 40S),233.0,,,,
547,1.41e-06,alma1,Southern Ocean (S of 40S),1410.0,,,,
548,1.33e-07,alma1,Southern Ocean (S of 40S),133.0,,,,
568,0.0,alma1,South Pacific Ocean,0.0,,,,
569,0.0,alma1,South Pacific Ocean,0.0,,,,
579,1.5199999999999998e-07,alma1,Southern Ocean (S of 40S),151.99999999999997,,,,
580,3.9e-08,alma1,Southern Ocean (S of 40S),39.0,,,,
581,3.520000000000001e-07,alma1,Southern Ocean (S of 40S),352.00000000000006,,,,
582,5e-07,alma1,Southern Ocean (S of 40S),500.0,,,,
583,2.65e-07,alma1,Southern Ocean (S of 40S),265.0,,,,
584,1.08e-06,alma1,Southern Ocean (S of 40S),1080.0,,,,
585,8.77e-07,alma1,Southern Ocean (S of 40S),877.0,,,,
586,2.05e-07,alma1,North Atlantic Ocean,205.0,,,,
587,3.2900000000000003e-08,alma1,North Atlantic Ocean,32.90000000000001,,,,
588,1.59e-07,alma1,North Atlantic Ocean,159.0,,,,
589,2.2e-08,alma1,North Atlantic Ocean,22.000000000000004,,,,
596,0.0,alma1,South Pacific Ocean,0.0,,,,
597,3.579999999999999e-07,alma1,South Pacific Ocean,357.99999999999994,,,,
598,0.0,alma1,South Pacific Ocean,0.0,,,,
599,0.0,alma1,South Pacific Ocean,0.0,,,,
600,0.0,alma1,South Pacific Ocean,0.0,,,,
601,0.0,alma1,South Pacific Ocean,0.0,,,,
602,0.0,alma1,South Pacific Ocean,0.0,,,,
603,1.86e-07,alma1,North Atlantic Ocean,186.00000000000003,,,,
604,3.91e-08,alma1,North Atlantic Ocean,39.1,,,,
605,3.88e-08,alma1,North Atlantic Ocean,38.8,,,,
606,0.0,alma1,North Pacific Ocean,0.0,,,,
607,0.0,alma1,North Pacific Ocean,0.0,,,,
608,2.12e-08,alma1,North Pacific Ocean,21.200000000000006,,,,
619,4.33e-08,alma1,South Pacific Ocean,43.3,,,,
620,0.0,alma1,South Pacific Ocean,0.0,,,,
621,0.0,alma1,South Pacific Ocean,0.0,,,,
622,2.41e-07,alma1,Southern Ocean (S of 40S),241.0,,,,
623,5.28e-07,alma1,Southern Ocean (S of 40S),528.0,,,,
624,1.19e-06,alma1,Southern Ocean (S of 40S),1190.0,,,,
625,6.32e-07,alma1,Southern Ocean (S of 40S),632.0,,,,
626,4.79e-07,alma1,Southern Ocean (S of 40S),479.0,,,,
627,1.32e-06,alma1,Southern Ocean (S of 40S),1320.0,,,,
639,1.01e-07,alma1,North Atlantic Ocean,101.0,,,,
660,5.84e-08,alma1,Indian Ocean,58.4,,,,
661,2.9e-08,alma1,Indian Ocean,29.0,,,,
662,0.0,alma1,Indian Ocean,0.0,,,,
663,0.0,alma1,Indian Ocean,0.0,,,,
664,0.0,alma1,Indian Ocean,0.0,,,,
665,2.41e-08,alma1,Indian Ocean,24.1,,,,
666,1.57e-07,alma1,Indian Ocean,157.0,,,,
680,0.0,alma1,Indian Ocean,0.0,,,,
681,0.0,alma1,Indian Ocean,0.0,,,,
682,0.0,alma1,Indian Ocean,0.0,,,,
683,0.0,alma1,Indian Ocean,0.0,,,,
684,0.0,alma1,North Pacific Ocean,0.0,,,,
685,0.0,alma1,North Pacific Ocean,0.0,,,,
694,0.0,alma1,North Pacific Ocean,0.0,,,,
695,0.0,alma1,North Pacific Ocean,0.0,,,,
696,0.0,alma1,North Pacific Ocean,0.0,,,,
699,0.0,alma1,Indian Ocean,0.0,,,,
700,1.18e-06,alma1,Indian Ocean,1180.0,,,,
701,0.0,alma1,Indian Ocean,0.0,,,,
705,0.0,alma1,South Pacific Ocean,0.0,,,,
706,0.0,alma1,South Pacific Ocean,0.0,,,,
717,9.12e-08,alma1,South Pacific Ocean,91.2,,,,
718,0.0,alma1,South Pacific Ocean,0.0,,,,
719,7.28e-08,alma1,South Pacific Ocean,72.8,,,,
720,0.0,alma1,South Pacific Ocean,0.0,,,,
721,0.0,alma1,South Pacific Ocean,0.0,,,,
722,0.0,alma1,South Pacific Ocean,0.0,,,,
723,0.0,alma1,South Pacific Ocean,0.0,,,,
724,0.0,alma1,South Pacific Ocean,0.0,,,,
725,2.51e-07,alma1,Indian Ocean,251.0,,,,
748,0.0,alma1,Indian Ocean,0.0,,,,
749,0.0,alma1,Indian Ocean,0.0,,,,
750,0.0,alma1,Indian Ocean,0.0,,,,
777,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
778,2.12e-07,alma1,Southern Ocean (S of 40S),212.0,,,,
779,2.5e-05,alma1,Southern Ocean (S of 40S),25000.0,,,,
780,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
781,2.76e-06,alma1,Southern Ocean (S of 40S),2760.0,,,,
782,1.4e-05,alma1,Southern Ocean (S of 40S),14000.000000000002,,,,
783,3.13e-08,alma1,Southern Ocean (S of 40S),31.3,,,,
784,2.37e-06,alma1,Southern Ocean (S of 40S),2370.0,,,,
785,3.13e-08,alma1,Southern Ocean (S of 40S),31.3,,,,
786,1.73e-06,alma1,Southern Ocean (S of 40S),1730.0,,,,
790,0.0,alma1,Indian Ocean,0.0,,,,
791,0.0,alma1,Indian Ocean,0.0,,,,
792,0.0,alma1,Indian Ocean,0.0,,,,
793,3.51e-08,alma1,Indian Ocean,35.099999999999994,,,,
794,9.34e-08,alma1,Indian Ocean,93.4,,,,
795,3.74e-08,alma1,Indian Ocean,37.40000000000001,,,,
796,0.0,alma1,Indian Ocean,0.0,,,,
797,0.0,alma1,Indian Ocean,0.0,,,,
811,4.02e-08,alma1,South Pacific Ocean,40.2,,,,
812,0.0,alma1,South Pacific Ocean,0.0,,,,
813,0.0,alma1,South Pacific Ocean,0.0,,,,
814,5.47e-08,alma1,South Pacific Ocean,54.7,,,,
815,0.0,alma1,South Pacific Ocean,0.0,,,,
816,0.0,alma1,South Atlantic Ocean,0.0,,,,
844,2.52e-08,alma1,North Pacific Ocean,25.2,,,,
845,0.0,alma1,North Pacific Ocean,0.0,,,,
846,0.0,alma1,North Pacific Ocean,0.0,,,,
847,0.0,alma1,North Pacific Ocean,0.0,,,,
848,0.0,alma1,North Pacific Ocean,0.0,,,,
849,0.0,alma1,North Pacific Ocean,0.0,,,,
850,0.0,alma1,North Pacific Ocean,0.0,,,,
851,6.54e-08,alma1,North Pacific Ocean,65.4,,,,
852,8e-08,alma1,North Pacific Ocean,80.0,,,,
881,1.93e-08,alma1,North Pacific Ocean,19.3,,,,
882,0.0,alma1,North Pacific Ocean,0.0,,,,
896,0.0,alma1,South Pacific Ocean,0.0,,,,
897,3.58e-08,alma1,South Pacific Ocean,35.80000000000001,,,,
898,0.0,alma1,South Pacific Ocean,0.0,,,,
899,0.0,alma1,South Pacific Ocean,0.0,,,,
900,0.0,alma1,South Pacific Ocean,0.0,,,,
923,0.0,alma1,South Pacific Ocean,0.0,,,,
924,0.0,alma1,South Pacific Ocean,0.0,,,,
929,0.0,alma1,South Pacific Ocean,0.0,,,,
957,0.0,alma1,Indian Ocean,0.0,,,,
958,0.0,alma1,Indian Ocean,0.0,,,,
959,0.0,alma1,Indian Ocean,0.0,,,,
960,0.0,alma1,Indian Ocean,0.0,,,,
961,0.0,alma1,Indian Ocean,0.0,,,,
962,5.26e-07,alma1,Indian Ocean,526.0,,,,
963,7.35e-07,alma1,Indian Ocean,735.0,,,,
964,0.0,alma1,Indian Ocean,0.0,,,,
965,1.33e-07,alma1,Indian Ocean,133.0,,,,
966,0.0,alma1,Indian Ocean,0.0,,,,
982,0.0,alma1,South Pacific Ocean,0.0,,,,
983,6.91e-08,alma1,South Pacific Ocean,69.10000000000001,,,,
984,0.0,alma1,South Pacific Ocean,0.0,,,,
1007,8e-07,alma1,Indian Ocean,800.0,,,,
1008,0.0,alma1,Indian Ocean,0.0,,,,
1009,0.0,alma1,Indian Ocean,0.0,,,,
1010,0.0,alma1,Indian Ocean,0.0,,,,
1011,0.0,alma1,Indian Ocean,0.0,,,,
1012,5.71e-08,alma1,Indian Ocean,57.1,,,,
1051,4.7800000000000005e-08,alma1,North Atlantic Ocean,47.8,,,,
1057,1.78e-08,alma1,South Pacific Ocean,17.8,,,,
1058,0.0,alma1,South Pacific Ocean,0.0,,,,
1059,5.59e-07,alma1,Southern Ocean (S of 40S),559.0,,,,
1060,8.71e-08,alma1,Southern Ocean (S of 40S),87.10000000000002,,,,
1061,2.75e-08,alma1,Southern Ocean (S of 40S),27.5,,,,
1062,2.01e-07,alma1,Southern Ocean (S of 40S),201.0,,,,
1063,6.93e-07,alma1,Southern Ocean (S of 40S),693.0,,,,
1064,4.62e-07,alma1,Southern Ocean (S of 40S),462.00000000000006,,,,
1065,1.06e-07,alma1,Southern Ocean (S of 40S),106.0,,,,
1083,1.02e-07,alma1,South Atlantic Ocean,102.0,,,,
1084,0.0,alma1,South Atlantic Ocean,0.0,,,,
1085,5.97e-08,alma1,South Atlantic Ocean,59.7,,,,
1086,0.0,alma1,Indian Ocean,0.0,,,,
1095,4.79e-06,alma1,Southern Ocean (S of 40S),4790.0,,,,
1096,4.7e-07,alma1,Southern Ocean (S of 40S),470.0,,,,
1097,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
1098,2.18e-07,alma1,Southern Ocean (S of 40S),218.00000000000003,,,,
1099,6.6e-07,alma1,Southern Ocean (S of 40S),660.0,,,,
1100,9.81e-08,alma1,Southern Ocean (S of 40S),98.1,,,,
1101,2.77e-06,alma1,Southern Ocean (S of 40S),2770.0,,,,
1102,7.67e-07,alma1,Southern Ocean (S of 40S),767.0,,,,
1103,8.369999999999999e-08,alma1,Southern Ocean (S of 40S),83.69999999999997,,,,
1104,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
1105,9.04e-08,alma1,Southern Ocean (S of 40S),90.4,,,,
1106,2.88e-06,alma1,Southern Ocean (S of 40S),2880.0,,,,
1107,8.96e-07,alma1,Southern Ocean (S of 40S),896.0,,,,
1108,1.19e-07,alma1,Southern Ocean (S of 40S),119.0,,,,
1116,7.07e-08,alma1,North Pacific Ocean,70.7,,,,
1117,0.0,alma1,North Pacific Ocean,0.0,,,,
1118,0.0,alma1,North Pacific Ocean,0.0,,,,
1119,0.0,alma1,North Pacific Ocean,0.0,,,,
1120,4.56e-08,alma1,North Pacific Ocean,45.6,,,,
1121,0.0,alma1,North Pacific Ocean,0.0,,,,
1131,0.0,alma1,North Pacific Ocean,0.0,,,,
1136,2.79e-06,alma1,Southern Ocean (S of 40S),2790.0,,,,
1137,3.55e-08,alma1,Southern Ocean (S of 40S),35.5,,,,
1138,7.68e-07,alma1,Southern Ocean (S of 40S),768.0,,,,
1139,6.34e-07,alma1,Southern Ocean (S of 40S),634.0,,,,
1140,5.04e-08,alma1,Southern Ocean (S of 40S),50.4,,,,
1141,8.03e-08,alma1,Southern Ocean (S of 40S),80.3,,,,
1142,2.8999999999999998e-06,alma1,Southern Ocean (S of 40S),2900.0,,,,
1152,0.0,alma1,North Pacific Ocean,0.0,,,,
1153,0.0,alma1,North Pacific Ocean,0.0,,,,
1154,0.0,alma1,North Pacific Ocean,0.0,,,,
1155,0.0,alma1,North Pacific Ocean,0.0,,,,
1156,0.0,alma1,North Pacific Ocean,0.0,,,,
1157,7.59e-08,alma1,North Pacific Ocean,75.89999999999998,,,,
1158,2.29e-07,alma1,North Pacific Ocean,229.0,,,,
1159,9.75e-08,alma1,North Pacific Ocean,97.5,,,,
1160,0.0,alma1,North Pacific Ocean,0.0,,,,
1170,4.24e-08,alma1,South Atlantic Ocean,42.40000000000001,,,,
1171,0.0,alma1,South Atlantic Ocean,0.0,,,,
1174,0.0,alma1,South Pacific Ocean,0.0,,,,
1175,2.25e-08,alma1,South Pacific Ocean,22.5,,,,
1176,0.0,alma1,South Pacific Ocean,0.0,,,,
1177,0.0,alma1,South Pacific Ocean,0.0,,,,
1178,0.0,alma1,South Pacific Ocean,0.0,,,,
1179,0.0,alma1,South Pacific Ocean,0.0,,,,
1180,0.0,alma1,South Pacific Ocean,0.0,,,,
1181,5.42e-08,alma1,South Pacific Ocean,54.2,,,,
1182,0.0,alma1,South Pacific Ocean,0.0,,,,
1183,1.07e-07,alma1,South Pacific Ocean,107.0,,,,
1185,2.23e-07,alma1,North Atlantic Ocean,223.0,,,,
1186,3.1e-08,alma1,North Atlantic Ocean,31.0,,,,
1187,1.51e-07,alma1,North Atlantic Ocean,151.0,,,,
1189,0.0,alma1,South Pacific Ocean,0.0,,,,
1190,0.0,alma1,South Pacific Ocean,0.0,,,,
1191,1.29e-07,alma1,South Pacific Ocean,129.0,,,,
1202,9.88e-08,alma1,Southern Ocean (S of 40S),98.8,,,,
1203,9.88e-08,alma1,Southern Ocean (S of 40S),98.8,,,,
