,Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007,Total_transcripts_per_million_sequences,Reads_per_Kb_per_million_mapped_reads
171,Tara_Oceans,ERR599027,dddL,3,-47.2007,-57.9446,40,DCM,0.22,3.0,SAO,FKLD,0.15699088249284776,0.23361738466197585
172,Tara_Oceans,ERR599031,dddL,1,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB,0.0614468886582992,0.09143882240818334
173,Tara_Oceans,ERR599035,dddL,4,-47.1863,-58.2902,5,SRF,0.22,3.0,SAO,FKLD,0.10734184400299634,0.15973488690922075
174,Tara_Oceans,ERR599067,dddL,13,2.0649,-84.5546,380,MES,0.22,3.0,NPO,CHIL,0.6734158126113791,1.0021068640050284
175,Tara_Oceans,ERR599098,dddL,3,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG,0.18269903476445953,0.2718735636375886
176,Tara_Oceans,ERR599102,dddL,2,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS,0.03951641315208182,0.05880418623821699
177,Tara_Oceans,ERR599104,dddL,1,-62.2231,-49.2139,90,DCM,0.22,3.0,SO,ANTA,0.055393955998697356,0.0824314821409187
178,Tara_Oceans,ERR599109,dddL,0,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS,0.0,0.0
179,Tara_Oceans,ERR599113,dddL,4,-12.9723,-96.0122,50,DCM,0.22,3.0,SPO,SPSG,0.26796382595535134,0.3987556933859395
180,Tara_Oceans,ERR599169,dddL,2,-13.0023,-95.9759,5,SRF,0.22,3.0,SPO,SPSG,0.09030950149877649,0.13438913913508407
181,Tara_Oceans,ERR599176,dddL,1,-62.0385,-49.528999999999996,5,SRF,0.22,3.0,SO,ANTA,0.050566008083178654,0.07524703583806347
182,Tara_Oceans,ERR598943,dddP,2095,-5.2529,-85.1545,5,SRF,0.22,3.0,SPO,PEOD,78.93255753618296,62.64488693347854
183,Tara_Oceans,ERR598945,dddP,636,-60.2287,-60.6476,5,SRF,0.22,3.0,SO,ANTA,32.673666057768585,25.931480998229038
184,Tara_Oceans,ERR598952,dddP,1259,2.0299,-84.5546,30,DCM,0.22,3.0,NPO,CHIL,91.99068723984684,73.00848193638637
185,Tara_Oceans,ERR598953,dddP,3599,-12.9794,-96.0232,177,DCM,0.22,3.0,SPO,SPSG,152.60052883142976,121.11153081859504
186,Tara_Oceans,ERR598956,dddP,3227,-8.9109,-140.2845,150,MIX,0.22,3.0,SPO,SPSG,129.69508151800076,102.93260437936569
187,Tara_Oceans,ERR598976,dddP,7775,36.1715,-29.023000000000003,5,SRF,0.22,3.0,NAO,NAST-E,75.56324282372967,59.97082763788069
188,Tara_Oceans,ERR598977,dddP,1759,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS,69.52135829320046,55.17568118507973
