,Experiment,Station,Depth_zone,Marine_pelagic_biomes _Longhurst_2007,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Gene,Percentage_of_genome_equivalents
469,ERX555925,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,dddK,42.27
1594,ERX555925,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,dddL,0.0
694,ERX555925,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,dddP,11.84
1144,ERX555925,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,dddQ,0.0
919,ERX555925,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,dddW,0.0
244,ERX555925,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,dmdA,20.12
19,ERX555925,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,recA_hits,4286.0
1370,ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,dddD,1.43
470,ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,dddK,1.45
1595,ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,dddL,0.0
695,ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,dddP,3.18
1145,ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,dddQ,0.0
920,ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,dddW,0.0
245,ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,dmdA,35.61
20,ERX555926,TARA_099,SRF,SPSG,-21.146,-104.787,5,recA_hits,4483.0
1371,ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,dddD,2.24
471,ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,dddK,2.5
1596,ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,dddL,0.0
696,ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,dddP,0.37
1146,ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,dddQ,0.0
921,ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,dddW,0.0
246,ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,dmdA,10.82
21,ERX555927,TARA_150,DCM,NAST-W,35.8427,-37.1526,40,recA_hits,15131.0
1372,ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,dddD,3.24
472,ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,dddK,0.0
1597,ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,dddL,0.0
697,ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,dddP,0.0
1147,ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,dddQ,0.0
922,ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,dddW,0.0
247,ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,dmdA,23.63
22,ERX555928,TARA_098,DCM,SPSG,-25.826,-111.7294,188,recA_hits,1346.0
1373,ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,dddD,1.88
473,ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,dddK,0.0
1598,ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,dddL,0.0
698,ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,dddP,2.62
1148,ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,dddQ,2.61
923,ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,dddW,0.0
248,ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,dmdA,35.93
23,ERX555929,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,recA_hits,2629.0
1374,ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddD,2.07
474,ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddK,0.0
1599,ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddL,0.0
699,ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddP,0.0
1149,ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddQ,0.0
924,ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dddW,0.0
249,ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,dmdA,7.9
24,ERX555930,TARA_100,DCM,SPSG,-12.9723,-96.0122,50,recA_hits,1178.0
1375,ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,dddD,0.89
475,ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,dddK,0.0
1600,ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,dddL,0.0
700,ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,dddP,1.1
1150,ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,dddQ,0.0
925,ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,dddW,0.0
250,ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,dmdA,12.72
25,ERX555931,TARA_032,DCM,REDS,23.4183,37.245,80,recA_hits,9194.0
1376,ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,dddD,3.1
476,ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,dddK,0.83
1601,ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,dddL,0.0
701,ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,dddP,0.42
1151,ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,dddQ,0.08
926,ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,dddW,0.0
251,ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,dmdA,20.57
26,ERX555932,TARA_122,DCM,SPSG,-9.0063,-139.1394,115,recA_hits,11725.0
1377,ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,dddD,2.85
477,ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,dddK,1.68
