,Name,Replicate,Time_min,Calc_conc,Real_conc,Date,Volume_rxn,Volume_capsule,ID,Name_Rep,Real_conc_max,f_R
120,DddQ,a,27,,70.91428571,20191219,660.0,39.97995839,DddQ_27_a,DddQ_a,142.4571429,0.4977938225237283
121,DddQ,a,35,,74.85714286,20191219,1780.0,14.04322185,DddQ_35_a,DddQ_a,142.4571429,0.5254713195571185
136,DddQ,b,0,,133.4285714,20191219,,,DddQ_0_b,DddQ_b,133.4285714,1.0
122,DddQ,b,4,,98.05714286,20191219,400.0,47.70685419,DddQ_4_b,DddQ_b,133.4285714,0.7349036404357395
123,DddQ,b,11,,90.68571429,20191219,500.0,41.26778162,DddQ_11_b,DddQ_b,133.4285714,0.6796573877579566
124,DddQ,b,20,,74.51428571,20191219,530.0,47.38104051,DddQ_20_b,DddQ_b,133.4285714,0.5584582441988133
125,DddQ,b,27,,71.54285714,20191219,660.0,39.62869677,DddQ_27_b,DddQ_b,133.4285714,0.5361884369242372
126,DddQ,b,35,,71.77142857,20191219,1780.0,14.64699095,DddQ_35_b,DddQ_b,133.4285714,0.5379014990338118
137,DddQ,c,0,,137.4857143,20191219,,,DddQ_0_c,DddQ_c,137.4857143,1.0
127,DddQ,c,4,,94.97142857,20191219,400.0,49.25689639,DddQ_4_c,DddQ_c,137.4857143,0.6907730672495039
128,DddQ,c,11,,89.25714286,20191219,500.0,41.92827749,DddQ_11_c,DddQ_c,137.4857143,0.6492103075177462
129,DddQ,c,20,,73.14285714,20191219,530.0,48.26943502,DddQ_20_c,DddQ_c,137.4857143,0.5320033249447211
130,DddQ,c,27,,72.62857143,20191219,660.0,39.03629297,DddQ_27_c,DddQ_c,137.4857143,0.5282626765972295
131,DddQ,c,35,,71.71428571,20191219,1780.0,14.65866186,DddQ_35_c,DddQ_c,137.4857143,0.521612634993598
17,DddY,a,0,9.64,96.4,20190831,,,DddY_0_a,DddY_a,96.4,1.0
16,DddY,a,3,6.709084777999999,67.09084777999999,20190831,,,DddY_3_a,DddY_a,96.4,0.6959631512448131
15,DddY,a,9,5.424158509,54.24158509,20190831,,,DddY_9_a,DddY_a,96.4,0.5626720445020746
14,DddY,a,20,3.516537202,35.16537202,20190831,,,DddY_20_a,DddY_a,96.4,0.36478601680497924
13,DddY,a,26,3.002566694,30.02566694,20190831,,,DddY_26_a,DddY_a,96.4,0.31146957406639003
12,DddY,a,37,2.294226935,22.942269350000004,20190831,,,DddY_37_a,DddY_a,96.4,0.23799034595435686
11,DddY,a,45,1.7600935469999999,17.60093547,20190831,,,DddY_45_a,DddY_a,96.4,0.18258231815352696
10,DddY,a,53,1.384221903,13.84221903,20190831,,,DddY_53_a,DddY_a,96.4,0.14359148371369296
18,DddY,b,0,9.53,95.3,20190831,,,DddY_0_b,DddY_b,95.3,1.0
40,DddY,b,4,6.964774871,69.64774871,20190831,,,DddY_4_b,DddY_b,95.3,0.7308263243441764
39,DddY,b,11,5.028483261,50.284832609999995,20190831,,,DddY_11_b,DddY_b,95.3,0.5276477713536201
38,DddY,b,18,3.820521522,38.20521522,20190831,,,DddY_18_b,DddY_b,95.3,0.40089417859391396
37,DddY,b,25,3.358653798,33.58653798,20190831,,,DddY_25_b,DddY_b,95.3,0.35242956956977967
36,DddY,b,35,2.7265540180000003,27.265540180000002,20190831,,,DddY_35_b,DddY_b,95.3,0.2861022054564533
35,DddY,b,43,2.434665153,24.346651530000003,20190831,,,DddY_43_b,DddY_b,95.3,0.2554737831059811
34,DddY,b,51,2.001254415,20.01254415,20190831,,,DddY_51_b,DddY_b,95.3,0.2099952166841553
