Identifier,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
DddY,,37,a,3,37.181,35.479,1.702,1855,8902,-0.058,Sample
DddY,,45,a,1,37.217,35.513,1.704,1857,8908,0,Sample
DddY,,45,a,2,71.718,68.374,3.344,1568,7661,20.935,Sample
DddY,,45,a,3,37.191,35.488,1.703,1855,8900,-0.084,Sample
DddY,,53,a,1,37.297,35.59,1.707,1863,8937,0,Sample
DddY,,53,a,2,72.488,69.106,3.382,1673,8180,21.817,Sample
DddY,,53,a,3,37.438,35.724,1.714,1865,8945,0.033,Sample
Sulfanilamide,2,,,1,37.496,35.779,1.717,1869,8970,0,Standard
Sulfanilamide,2,,,2,25.341,24.177,1.163,592,2846,3.091,Standard
Sulfanilamide,2,,,3,37.119,35.42,1.699,1857,8909,-0.104,Standard
SW,2,,,1,37.412,35.699,1.713,1863,8937,0,Standard
SW,2,,,2,24.882,23.723,1.158,592,2888,19.298,Standard
SW,2,,,3,37.136,35.436,1.7,1858,8914,-0.05,Standard
DddD,,18,b,1,37.339,35.629,1.71,1863,8943,0,Sample
DddD,,18,b,2,83.781,79.901,3.879,1856,9004,12.559,Sample
DddD,,18,b,3,37.295,35.587,1.708,1860,8925,-0.055,Sample
DddD,,18,c,1,37.334,35.625,1.709,1863,8938,0,Sample
DddD,,18,c,2,106.913,101.964,4.95,2435,11811,12.853,Sample
DddD,,18,c,3,37.474,35.759,1.716,1867,8959,-0.045,Sample
DddD,,51,b,1,37.345,35.635,1.71,1861,8931,0,Sample
DddD,,51,b,2,98.35,93.8,4.551,2209,10705,12.123,Sample
DddD,,51,b,3,37.42,35.707,1.713,1866,8951,-0.079,Sample
DddY,,18,b,1,37.325,35.616,1.709,1861,8928,0,Sample
DddY,,18,b,2,70.895,67.601,3.294,1537,7481,17.082,Sample
DddY,,18,b,3,37.408,35.696,1.713,1865,8948,0.01,Sample
DddY,,25,b,1,37.442,35.728,1.714,1866,8955,0,Sample
DddY,,25,b,2,93.397,89.052,4.345,2069,10088,18.475,Sample
DddY,,25,b,3,37.588,35.867,1.721,1871,8975,-0.026,Sample
DddY,,35,b,1,37.537,35.817,1.719,1873,8989,0,Sample
DddY,,35,b,2,78.689,75.023,3.666,1779,8687,19.477,Sample
DddY,,35,b,3,37.865,36.131,1.734,1888,9063,-0.05,Sample
DddY,,43,b,1,37.992,36.252,1.74,1894,9094,0,Sample
DddY,,43,b,2,75.813,72.279,3.534,1703,8316,20.135,Sample
DddY,,43,b,3,38.07,36.327,1.744,1900,9117,-0.064,Sample
DddY,,18,c,1,38.238,36.488,1.751,1905,9139,0,Sample
DddY,,18,c,2,85.638,81.656,3.982,1952,9510,17.915,Sample
DddY,,18,c,3,38.357,36.601,1.756,1907,9151,-0.07,Sample
DddY,,25,c,1,38.322,36.566,1.756,1907,9156,0,Sample
DddY,,25,c,2,76.431,72.873,3.559,1697,8278,18.616,Sample
DddY,,25,c,3,38.35,36.593,1.757,1913,9184,-0.064,Sample
DddY,,35,c,1,38.259,36.508,1.751,1911,9170,0,Sample
DddY,,35,c,2,60.677,57.853,2.823,1336,6512,18.755,Sample
DddY,,35,c,3,38.295,36.542,1.753,1905,9142,-0.032,Sample
DddY,,43,c,1,37.909,36.174,1.735,1888,9055,0,Sample
DddY,,43,c,2,98.59,93.997,4.593,2268,11076,20.309,Sample
DddY,,43,c,3,37.946,36.209,1.737,1888,9056,-0.017,Sample
DddY,,51,c,1,37.899,36.164,1.735,1887,9052,0,Sample
DddY,,51,c,2,101.124,96.41,4.714,2328,11375,21.072,Sample
DddY,,51,c,3,38.168,36.421,1.747,1900,9111,-0.016,Sample
Sulfanilamide,2,,,1,38.214,36.465,1.749,1903,9129,0,Standard
Sulfanilamide,2,,,2,26.592,25.37,1.221,607,2919,3.689,Standard
Sulfanilamide,2,,,3,37.892,36.157,1.735,1895,9091,-0.026,Standard
SW,2,,,1,38.16,36.413,1.747,1899,9112,0,Standard
SW,2,,,2,2.16,2.061,0.099,51,245,4.847,Standard
SW,2,,,3,37.598,35.877,1.721,1885,9044,-0.108,Standard
Sulfanilamide,1.2,,,1,37.875,36.141,1.734,1887,9052,0,Standard
Sulfanilamide,1.2,,,2,15.004,14.315,0.689,348,1671,3.203,Standard
Sulfanilamide,1.2,,,3,37.77,36.041,1.729,1894,9084,-0.104,Standard
SW,4,,,1,39.047,37.259,1.789,1943,9325,0,Standard
SW,4,,,2,47.168,44.97,2.198,1072,5236,19.856,Standard
SW,4,,,3,38.822,37.043,1.778,1937,9297,-0.078,Standard
SW,4,,,1,39,37.214,1.787,1941,9317,0,Standard
SW,4,,,2,50.722,48.359,2.363,1091,5323,19.277,Standard
SW,4,,,3,38.844,37.065,1.779,1940,9314,-0.133,Standard
Sulfanilamide,4,,,1,37.947,36.209,1.738,1922,9229,0,Standard
Sulfanilamide,4,,,2,46.911,44.757,2.155,1036,4983,3.043,Standard
Sulfanilamide,4,,,3,39.024,37.236,1.788,1950,9365,0.121,Standard
SW,6,,,1,39.213,37.416,1.797,1957,9399,0,Standard
SW,6,,,2,72.971,69.568,3.403,1653,8074,20.204,Standard
SW,6,,,3,39.265,37.466,1.799,1961,9418,-0.026,Standard
SW,8,,,1,39.069,37.279,1.789,1946,9342,0,Standard
SW,8,,,2,89.348,85.183,4.165,1958,9564,20.41,Standard
SW,8,,,3,39.149,37.356,1.793,1950,9359,-0.037,Standard
DddD,,11,b,1,39.248,37.45,1.798,1955,9387,0,Sample
DddD,,11,b,2,69.725,66.494,3.231,1580,7666,12.907,Sample
DddD,,11,b,3,39.092,37.3,1.791,1946,9345,-0.099,Sample
DddD,,25,b,1,39.019,37.232,1.787,1947,9344,0,Sample
DddD,,25,b,2,86.308,82.311,3.997,1995,9678,12.736,Sample
DddD,,25,b,3,38.985,37.199,1.785,1942,9322,-0.079,Sample
DddD,,35,b,1,38.926,37.143,1.783,1936,9292,0,Sample
DddD,,35,b,2,83.586,79.716,3.87,1880,9118,12.543,Sample
DddD,,35,b,3,38.762,36.986,1.775,1930,9264,-0.116,Sample
DddD,,43,b,1,38.77,36.995,1.775,1931,9262,0,Sample
DddD,,43,b,2,89.515,85.373,4.142,2045,9909,12.455,Sample
DddD,,43,b,3,38.722,36.949,1.772,1928,9248,-0.078,Sample
DddY,,51,b,1,38.808,37.031,1.777,1934,9284,0,Sample
DddY,,51,b,2,77.378,73.768,3.61,1740,8507,21.405,Sample
DddY,,51,b,3,38.906,37.124,1.782,1937,9297,-0.037,Sample
DddD,,25,c,1,38.786,37.01,1.776,1930,9264,0,Sample
DddD,,25,c,2,70.808,67.528,3.28,1595,7736,12.966,Sample
DddD,,25,c,3,38.938,37.155,1.783,1934,9279,-0.094,Sample
DddD,,35,c,1,38.88,37.1,1.781,1939,9305,0,Sample
DddD,,35,c,2,87.073,83.041,4.032,1985,9627,12.677,Sample
DddD,,35,c,3,38.919,37.136,1.782,1936,9292,-0.02,Sample
DddD,,43,c,1,38.983,37.197,1.786,1939,9309,0,Sample
DddD,,43,c,2,77.397,73.812,3.585,1739,8440,12.622,Sample
DddD,,43,c,3,39.114,37.322,1.792,1950,9362,-0.071,Sample
DddD,,51,c,1,39.495,37.685,1.809,1966,9439,0,Sample
DddD,,51,c,2,107.034,102.076,4.958,2354,11422,12.592,Sample
DddD,,51,c,3,39.918,38.089,1.829,1985,9530,-0.057,Sample
Sulfanilamide,6,,,1,39.311,37.511,1.8,1956,9386,0,Standard
Sulfanilamide,6,,,2,69.951,66.739,3.211,1517,7293,2.845,Standard
Sulfanilamide,6,,,3,39.061,37.273,1.789,1948,9346,-0.121,Standard
SW,6,,,1,39.101,37.311,1.79,1947,9341,0,Standard
SW,6,,,2,71.719,68.378,3.341,1627,7940,20.403,Standard
SW,6,,,3,38.871,37.092,1.779,1941,9312,0.006,Standard
Sulfanilamide,8,,,1,39.031,37.243,1.788,1945,9339,0,Standard
Sulfanilamide,8,,,2,94.893,90.534,4.358,2167,10416,2.676,Standard
Sulfanilamide,8,,,3,38.96,37.175,1.785,1946,9342,-0.138,Standard
SW,8,,,1,39.13,37.337,1.792,1947,9345,0,Standard
SW,8,,,2,92.841,88.512,4.329,2116,10339,20.492,Standard
SW,8,,,3,38.939,37.156,1.784,1939,9308,-0.01,Standard
Sulfanilamide,2,,,1,38.799,37.022,1.777,1932,9273,0,Standard
Sulfanilamide,2,,,2,25.899,24.71,1.19,596,2866,3.022,Standard
Sulfanilamide,2,,,3,38.518,36.754,1.764,1928,9253,-0.142,Standard
SW,2,,,1,38.839,37.06,1.779,1935,9288,0,Standard
SW,2,,,2,24.73,23.578,1.152,575,2806,19.32,Standard
SW,2,,,3,38.597,36.829,1.768,1928,9255,-0.111,Standard
Sulfanilamide,4,,,1,38.824,37.046,1.778,1933,9274,0,Standard
Sulfanilamide,4,,,2,49.454,47.184,2.27,1147,5508,2.7,Standard
Sulfanilamide,4,,,3,38.52,36.757,1.764,1923,9226,-0.089,Standard
SW,4,,,1,38.629,36.86,1.769,1924,9231,0,Standard
SW,4,,,2,47.041,44.849,2.192,1074,5244,20.028,Standard
SW,4,,,3,38.395,36.637,1.758,1916,9192,-0.068,Standard
Sulfanilamide,6,,,1,38.615,36.845,1.77,1921,9228,0,Standard
Sulfanilamide,6,,,2,72.026,68.717,3.308,1652,7941,2.651,Standard
Sulfanilamide,6,,,3,38.597,36.829,1.769,1926,9249,-0.19,Standard
Sulfanilamide,1.2,,,1,38.759,36.983,1.776,1926,9247,0,Standard
Sulfanilamide,1.2,,,2,15.4,14.693,0.707,360,1731,3.151,Standard
Sulfanilamide,1.2,,,3,38.5,36.737,1.763,1930,9267,-0.178,Standard
SW,1.2,,,1,38.868,37.087,1.781,1934,9287,0,Standard
SW,1.2,,,2,15.435,14.717,0.718,349,1703,18.266,Standard
SW,1.2,,,3,38.636,36.867,1.77,1934,9285,-0.131,Standard
Sulfanilamide,8,,,1,38.979,37.193,1.786,1942,9323,0,Standard
Sulfanilamide,8,,,2,97.767,93.278,4.489,2228,10709,2.494,Standard
Sulfanilamide,8,,,3,39.003,37.216,1.787,1940,9313,-0.139,Standard
