FileHeader: Filename,Identifier,Type,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area 64,Area 66,Ampl_64,Ampl  66,d34S
33850__DddQ_39.dxf,DddQ,Sample,,11,c,2,51.745,49.344,2.4,1192,5785,13.287
33850__DddQ_39.dxf,DddQ,Sample,,11,c,3,38.364,36.605,1.759,1905,9152,0.125
33851__DddQ_40.dxf,DddQ,Sample,,20,c,1,38.319,36.562,1.757,1906,9154,0
33851__DddQ_40.dxf,DddQ,Sample,,20,c,2,60.319,57.524,2.795,1361,6598,12.956
33851__DddQ_40.dxf,DddQ,Sample,,20,c,3,38.463,36.699,1.763,1913,9191,0.131
33852__DddQ_41.dxf,DddQ,Sample,,27,c,1,38.592,36.823,1.769,1913,9191,0
33852__DddQ_41.dxf,DddQ,Sample,,27,c,2,54.438,51.913,2.525,1246,6048,13.369
33852__DddQ_41.dxf,DddQ,Sample,,27,c,3,38.578,36.81,1.769,1916,9202,0.08
33853__DddQ_42.dxf,DddQ,Sample,,35,c,1,38.558,36.791,1.767,1911,9179,0
33853__DddQ_42.dxf,DddQ,Sample,,35,c,2,42.868,40.88,1.988,989,4802,13.597
33853__DddQ_42.dxf,DddQ,Sample,,35,c,3,38.489,36.725,1.764,1912,9184,0.007
33855__Sulfanilamide_44.dxf,Sulfanilamide,Standard,4,,,1,38.575,36.806,1.769,1917,9209,0
33855__Sulfanilamide_44.dxf,Sulfanilamide,Standard,4,,,2,51.247,48.888,2.359,1148,5526,4.174
33855__Sulfanilamide_44.dxf,Sulfanilamide,Standard,4,,,3,38.711,36.936,1.775,1922,9232,-0.432
33856__SW_45.dxf,SW,Standard,4,,,1,38.715,36.94,1.775,1922,9236,0
33856__SW_45.dxf,SW,Standard,4,,,2,49.204,46.905,2.299,1114,5450,22.064
33856__SW_45.dxf,SW,Standard,4,,,3,38.555,36.787,1.768,1920,9227,-0.094
33857__Sulfanilamide_46.dxf,Sulfanilamide,Standard,6,,,1,38.673,36.9,1.773,1920,9227,0
33857__Sulfanilamide_46.dxf,Sulfanilamide,Standard,6,,,2,70.513,67.268,3.245,1632,7855,4.372
33857__Sulfanilamide_46.dxf,Sulfanilamide,Standard,6,,,3,38.643,36.871,1.771,1914,9197,-0.051
33858__SW_47.dxf,SW,Standard,6,,,1,38.737,36.961,1.776,1922,9239,0
33858__SW_47.dxf,SW,Standard,6,,,2,71.432,68.094,3.338,1611,7881,21.621
33858__SW_47.dxf,SW,Standard,6,,,3,38.565,36.797,1.768,1915,9201,-0.283
