Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007
Tara_Oceans,ERR599010,dddK,8,-20.9354,-35.1803,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599011,dddK,0,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599015,dddK,3,14.2025,-116.6433,375,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599016,dddK,15,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599022,dddK,26,-30.1367,-43.2899,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599027,dddK,540,-47.2007,-57.9446,40,DCM,0.22,3,SAO,FKLD
Tara_Oceans,ERR599031,dddK,1,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB
Tara_Oceans,ERR599035,dddK,774,-47.1863,-58.2902,5,SRF,0.22,3,SAO,FKLD
Tara_Oceans,ERR599067,dddK,0,2.0649,-84.5546,380,MES,0.22,3,NPO,CHIL
Tara_Oceans,ERR599098,dddK,1,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599102,dddK,68,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599104,dddK,392,-62.2231,-49.2139,90,DCM,0.22,3,SO,ANTA
Tara_Oceans,ERR599109,dddK,1,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS
Tara_Oceans,ERR599113,dddK,24,-12.9723,-96.0122,50,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR599169,dddK,9,-13.0023,-95.9759,5,SRF,0.22,3,SPO,SPSG
Tara_Oceans,ERR599176,dddK,804,-62.0385,-49.529,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598943,dddL,1,-5.2529,-85.1545,5,SRF,0.22,3,SPO,PEOD
Tara_Oceans,ERR598945,dddL,1,-60.2287,-60.6476,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598952,dddL,1,2.0299,-84.5546,30,DCM,0.22,3,NPO,CHIL
Tara_Oceans,ERR598953,dddL,24,-12.9794,-96.0232,177,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR598956,dddL,2,-8.9109,-140.2845,150,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598976,dddL,12,36.1715,-29.023,5,SRF,0.22,3,NAO,NAST-E
Tara_Oceans,ERR598977,dddL,2,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS
Tara_Oceans,ERR598988,dddL,2,-9.0714,-140.5973,120,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598999,dddL,11,-8.9729,-139.2393,600,MES,0.22,3,SPO,SPSG
Tara_Oceans,ERR599004,dddL,11,6.3559,-103.0598,450,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599010,dddL,18,-20.9354,-35.1803,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599011,dddL,3,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599015,dddL,21,14.2025,-116.6433,375,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599016,dddL,4,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599022,dddL,3,-30.1367,-43.2899,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599027,dddL,3,-47.2007,-57.9446,40,DCM,0.22,3,SAO,FKLD
Tara_Oceans,ERR599031,dddL,1,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB
Tara_Oceans,ERR599035,dddL,4,-47.1863,-58.2902,5,SRF,0.22,3,SAO,FKLD
Tara_Oceans,ERR599067,dddL,13,2.0649,-84.5546,380,MES,0.22,3,NPO,CHIL
Tara_Oceans,ERR599098,dddL,3,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599102,dddL,2,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599104,dddL,1,-62.2231,-49.2139,90,DCM,0.22,3,SO,ANTA
Tara_Oceans,ERR599109,dddL,0,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS
Tara_Oceans,ERR599113,dddL,4,-12.9723,-96.0122,50,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR599169,dddL,2,-13.0023,-95.9759,5,SRF,0.22,3,SPO,SPSG
Tara_Oceans,ERR599176,dddL,1,-62.0385,-49.529,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598943,dddP,2095,-5.2529,-85.1545,5,SRF,0.22,3,SPO,PEOD
Tara_Oceans,ERR598945,dddP,636,-60.2287,-60.6476,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598952,dddP,1259,2.0299,-84.5546,30,DCM,0.22,3,NPO,CHIL
Tara_Oceans,ERR598953,dddP,3599,-12.9794,-96.0232,177,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR598956,dddP,3227,-8.9109,-140.2845,150,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598976,dddP,7775,36.1715,-29.023,5,SRF,0.22,3,NAO,NAST-E
Tara_Oceans,ERR598977,dddP,1759,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS
Tara_Oceans,ERR598988,dddP,2491,-9.0714,-140.5973,120,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598999,dddP,3788,-8.9729,-139.2393,600,MES,0.22,3,SPO,SPSG
Tara_Oceans,ERR599004,dddP,2586,6.3559,-103.0598,450,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599010,dddP,517,-20.9354,-35.1803,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599011,dddP,1506,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599015,dddP,2771,14.2025,-116.6433,375,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599016,dddP,1802,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599022,dddP,1194,-30.1367,-43.2899,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599027,dddP,1710,-47.2007,-57.9446,40,DCM,0.22,3,SAO,FKLD
Tara_Oceans,ERR599031,dddP,1489,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB
Tara_Oceans,ERR599035,dddP,2058,-47.1863,-58.2902,5,SRF,0.22,3,SAO,FKLD
Tara_Oceans,ERR599067,dddP,2975,2.0649,-84.5546,380,MES,0.22,3,NPO,CHIL
Tara_Oceans,ERR599098,dddP,904,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599102,dddP,4773,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599104,dddP,1316,-62.2231,-49.2139,90,DCM,0.22,3,SO,ANTA
Tara_Oceans,ERR599109,dddP,2914,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS
Tara_Oceans,ERR599113,dddP,1630,-12.9723,-96.0122,50,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR599169,dddP,2525,-13.0023,-95.9759,5,SRF,0.22,3,SPO,SPSG
Tara_Oceans,ERR599176,dddP,1348,-62.0385,-49.529,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598943,dddQ,279,-5.2529,-85.1545,5,SRF,0.22,3,SPO,PEOD
Tara_Oceans,ERR598945,dddQ,47,-60.2287,-60.6476,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598952,dddQ,156,2.0299,-84.5546,30,DCM,0.22,3,NPO,CHIL
Tara_Oceans,ERR598953,dddQ,122,-12.9794,-96.0232,177,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR598956,dddQ,30,-8.9109,-140.2845,150,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598976,dddQ,829,36.1715,-29.023,5,SRF,0.22,3,NAO,NAST-E
Tara_Oceans,ERR598977,dddQ,69,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS
Tara_Oceans,ERR598988,dddQ,113,-9.0714,-140.5973,120,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598999,dddQ,77,-8.9729,-139.2393,600,MES,0.22,3,SPO,SPSG
Tara_Oceans,ERR599004,dddQ,134,6.3559,-103.0598,450,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599010,dddQ,56,-20.9354,-35.1803,5,SRF,0.22,3,SAO,SATL
