Experiment,Station,Depth_zone,Marine_pelagic_biomes _Longhurst_2007,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,recA_hits,dmdA,dddK,dddP,dddW,dddQ,dddD,dddL
ERX556003,TARA_149,SRF,NAST-W,34.1132,-49.9181,5,8663,15.17,1.09,1.5,0,0,2.02,0.17
ERX556004,TARA_066,SRF,BENG,-34.9449,17.9189,5,1098,12.45,5.16,0,0,0,5.64,0
ERX556005,TARA_102,DCM,PEOD,-5.2669,-85.2732,40,12057,5.2,10.37,1.31,0,0,1.35,0
ERX556006,TARA_038,SRF,MONS,19.0393,64.4913,5,6740,7.65,3.12,0.74,0,0,1.37,0
ERX556007,TARA_109,DCM,CHIL,2.0299,-84.5546,30,5522,37.23,1.86,3.71,0,2.04,3.6,0
ERX556008,TARA_110,MES,SPSG,-1.8902,-84.6141,380,10228,12.76,0,3.06,0,1.12,2.6,0.86
ERX556009,TARA_072,SRF,SATL,-8.7789,-17.9099,5,9018,16.96,0.63,1.47,0,0,1.89,0.76
ERX556010,TARA_109,MES,CHIL,2.0649,-84.5546,380,1150,9.78,0,6.13,0,0,2.26,0
ERX556011,TARA_068,MES,SATL,-31.0198,4.6685,700,535,25.02,0,3.99,0,0,6.46,0
ERX556012,TARA_064,SRF,EAFR,-29.5019,37.9889,5,2131,32.99,0,1.15,0,0,1.06,0.1
ERX556013,TARA_122,MES,SPSG,-8.9729,-139.2393,600,1328,12.85,0,2.21,0,0,0,0
ERX556014,TARA_052,SRF,ISSG,-16.957,53.9801,5,2516,7.67,0,0,0,0,0.32,0
ERX556015,TARA_039,DCM,MONS,18.5839,66.4727,25,13195,17.57,0,3.38,0,0,2.74,0
ERX556016,TARA_070,MES,SATL,-20.4075,-3.1641,800,6927,9.2,0,1.7,0,0,0,0
ERX556017,TARA_132,DCM,NPST,31.5168,-159.046,115,23485,7.95,0.91,0.1,0,0,1.02,0
ERX556018,TARA_031,SRF,REDS,27.16,34.835,5,2118,0.78,0,0.41,0,0,0.36,0.29
ERX556019,TARA_036,DCM,ARAB,20.8222,63.5133,17,19017,14.27,3.63,1.53,0,0,2.59,0
ERX556020,TARA_070,MES,SATL,-20.4075,-3.1641,800,765,1.9,0,0,0,0,0,0
ERX556021,TARA_039,MES,MONS,18.7341,66.3896,270,8502,16.12,0,5.05,0,0,4.2,0
ERX556022,TARA_032,SRF,REDS,23.36,37.2183,5,12502,8.31,0.11,1.04,0,0,0.54,0.14
ERX556023,TARA_065,DCM,EAFR,-35.2421,26.3048,30,6115,23.84,0,2.38,0,0,1.03,0
ERX556024,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,1653,10.68,3.92,0,0,0,1.19,0
ERX556025,TARA_034,DCM,REDS,18.4417,39.8567,60,11522,12.28,0,0.68,0,0,0.86,0
ERX556026,TARA_109,DCM,CHIL,2.0299,-84.5546,30,2258,39.73,2.39,1.61,0,0,2.21,0
ERX556027,TARA_037,MES,ARAB,20.8457,63.5851,600,11439,10.32,0,4.82,0.3,0,1.74,0
ERX556028,TARA_142,SRF,CARB,25.5264,-88.394,5,11147,19.36,0,1.99,0,0.43,2.54,0
ERX556029,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,1837,55.85,5.14,2.28,0,0,0.37,0
ERX556030,TARA_082,SRF,FKLD,-47.1863,-58.2902,5,3044,17.87,25.46,4.97,0,0,5.71,0
ERX556031,TARA_137,SRF,PNEC,14.2035,-116.6261,5,15064,24.24,2.74,1.73,0,0.3,1.79,0
ERX556032,TARA_025,DCM,MEDI,39.3991,19.3997,50,10666,12.21,1.32,0.25,0,0,0.72,1.77
ERX556033,TARA_133,MES,NPST,35.2698,-127.7268,650,9070,15.93,0,5.63,0,0,1.74,0
